-0.33,-0.33,-3.51,-3.85,-5.35,-5.02,-9.03,-3.01,-11.38,-7.7,-9.37,-18.24,-19.41,-15.73,-16.06,-5.52,-167.14,
-0.33,-0.5,-4.02,-3.51,-5.19,-3.01,-8.2,-2.01,-10.04,-6.69,-8.7,-17.9,-20.75,-14.89,-15.23,-4.85,-167.14,
-0.67,-0.17,-3.51,-3.18,-5.02,-1,-7.7,-1.34,-9.03,-5.86,-7.36,-15.39,-20.91,-13.55,-14.22,-4.02,-163.97,
-1,0.84,-2.01,-3.01,-4.68,0.84,-7.53,-0.33,-7.86,-4.68,-5.35,-11.04,-20.08,-12.55,-12.72,-2.84,-159.11,
-0.67,2.51,-0.33,-2.68,-4.52,2.51,-7.53,0.67,-6.53,-3.18,-2.34,-5.86,-18.4,-11.38,-10.88,-1,-153.42,
1.17,4.68,1.34,-2.18,-4.18,3.85,-7.19,2.01,-4.52,-1,1.17,-0.5,-15.73,-9.87,-8.03,1.17,-147.57,
4.52,7.03,2.34,-0.84,-3.35,5.19,-6.02,3.85,-1.34,1.84,5.19,3.85,-11.54,-7.19,-4.68,3.51,-142.21,
8.7,8.87,3.01,1.17,-2.18,6.69,-4.02,5.86,2.68,5.02,9.2,6.69,-5.35,-3.35,-0.5,6.02,-137.03,
12.38,10.04,3.51,3.35,-0.84,8.03,-1.84,8.03,6.69,7.7,12.55,8.87,3.01,0.84,3.85,8.37,-131.67,
14.89,9.87,4.02,5.35,0.5,9.2,0.33,9.54,10.21,10.21,15.73,10.71,12.05,4.52,8.37,10.37,-125.48,
15.56,8.37,5.02,6.53,1.34,9.87,1.67,10.54,12.38,12.05,17.57,12.38,20.41,7.03,11.88,11.88,-118.79,
15.06,6.36,5.86,6.69,1.67,10.04,2.01,10.88,13.05,13.22,18.91,14.56,26.44,8.2,14.72,12.88,-111.26,
14.05,4.85,6.69,5.86,1.34,9.37,1.34,10.37,12.38,13.89,19.24,16.73,28.78,9.03,15.89,13.22,-103.4,
13.22,4.68,7.03,5.02,0.67,8.2,0.5,8.87,11.38,14.22,19.07,18.57,27.94,10.37,15.73,13.05,-95.37,
13.05,6.19,6.69,4.68,0.17,6.86,-0.5,7.36,10.21,13.72,18.74,19.41,24.59,13.05,14.72,12.55,-88.17,
12.88,8.53,6.02,5.02,-0.33,5.52,-1,5.52,9.54,12.88,17.9,19.07,20.75,16.23,13.22,11.54,-82.15,
11.71,10.37,5.19,5.86,-0.33,4.68,-1,4.02,8.87,11.71,16.56,17.57,17.57,19.07,11.54,10.21,-78.3,
9.37,10.37,4.18,6.36,0,4.35,-0.84,3.01,8.53,10.54,14.72,15.23,15.39,19.91,10.37,8.7,-76.63,
5.86,8.2,3.68,6.02,0.17,4.35,-0.17,2.34,8.03,9.7,12.38,12.38,14.22,17.9,9.37,7.36,-76.63,
2.18,5.19,3.01,4.52,0.67,4.52,0.5,2.34,7.53,9.7,9.87,9.87,13.38,13.89,8.7,6.53,-77.47,
0,3.01,2.51,2.34,1.34,4.52,1.34,2.51,7.19,10.37,8.2,8.37,11.88,9.54,8.37,6.02,-77.8,
0.17,3.68,2.18,0.17,2.18,4.52,2.34,3.01,6.86,11.71,7.53,8.53,10.21,7.19,8.03,6.19,-76.63,
3.01,7.53,2.01,-1.34,3.51,4.52,4.02,3.68,7.36,13.05,8.37,9.87,8.37,7.53,8.2,7.19,-73.45,
7.7,12.88,2.18,-1.51,5.35,4.52,5.86,4.35,8.37,14.22,10.04,11.88,8.2,9.87,8.53,8.53,-69.27,
12.55,17.23,2.34,-0.5,7.36,5.02,8.2,5.35,9.7,14.89,11.88,13.38,10.04,12.05,9.7,9.7,-64.92,
16.23,17.73,2.68,0.5,9.54,5.86,10.54,6.36,11.04,15.06,13.22,13.72,14.22,11.54,11.21,10.54,-62.24,
17.23,13.72,3.18,1.51,11.21,6.36,12.72,7.19,12.05,14.56,13.05,12.21,19.91,7.03,12.72,10.21,-61.07,
16.73,6.36,3.85,1.51,12.72,6.36,14.39,7.36,11.88,13.55,12.55,9.7,24.93,-0.67,13.72,9.03,-61.91,
15.23,-0.67,4.85,1,13.55,5.69,15.39,6.36,10.88,11.88,11.71,7.03,27.44,-8.7,14.05,6.53,-63.41,
14.22,-4.68,6.02,0.33,14.22,4.18,15.56,4.52,8.53,9.7,11.88,5.19,26.44,-13.72,13.55,3.85,-64.41,
14.39,-4.52,7.19,0,14.72,2.01,15.39,1.84,6.02,7.03,13.38,4.85,21.92,-13.89,12.21,1.17,-63.75,
15.23,-1.84,8.2,0,15.06,0.17,14.89,-0.67,3.68,4.68,15.23,5.35,15.23,-9.54,10.71,-0.67,-61.07,
14.72,0.67,8.53,-0.17,15.73,-1.17,15.06,-2.01,2.51,2.84,16.4,5.35,9.2,-3.35,9.37,-1.34,-56.72,
11.21,-1.17,8.2,-1,16.4,-1.51,16.23,-1.67,3.01,2.18,15.39,3.68,6.02,1.34,8.87,-1,-51.53,
4.68,-7.53,6.69,-2.84,17.07,-0.67,18.07,0.5,4.68,2.84,11.71,-0.5,7.19,1.51,9.03,-0.17,-46.51,
-3.68,-16.73,5.02,-5.35,17.9,0.67,20.75,3.51,7.03,4.18,6.36,-6.36,12.21,-2.68,10.04,0.67,-42.5,
-11.54,-24.43,3.35,-7.7,18.57,1.84,22.75,6.02,8.7,5.69,1,-11.88,18.74,-9.03,11.04,0.84,-40.66,
-15.23,-25.77,2.68,-8.7,18.74,2.34,23.76,7.7,9.03,5.86,-2.68,-14.56,24.09,-13.89,11.54,0,-41.16,
-13.05,-18.74,2.84,-7.86,18.24,2.34,23.26,7.53,7.36,4.52,-3.35,-13.55,25.43,-14.39,10.88,-1.34,-44,
-4.52,-4.35,4.02,-4.85,16.9,1.84,20.75,5.86,4.52,1.67,-1.34,-9.03,22.59,-10.37,9.03,-3.01,-48.52,
8.03,13.38,5.35,-0.5,14.72,1,17.23,3.35,1.17,-2.34,2.01,-2.84,17.23,-4.18,6.36,-4.68,-53.71,
21.42,30.28,6.69,3.85,12.05,0.17,13.22,0.84,-1.51,-6.36,4.85,2.01,11.38,0.84,3.01,-6.02,-58.56,
32.96,42.66,7.03,7.19,9.37,-0.5,9.7,-1,-3.51,-9.87,5.86,3.18,7.36,1.67,-0.17,-7.53,-61.74,
40.99,50.36,7.19,8.87,6.69,-1.17,6.53,-2.68,-4.85,-12.55,4.68,0.5,4.85,-2.34,-3.01,-9.37,-63.41,
46.18,54.54,7.19,9.03,4.68,-2.68,4.35,-4.35,-5.86,-14.89,2.01,-5.19,2.51,-9.37,-5.52,-12.05,-64.08,
49.36,58.22,7.36,8.2,3.01,-4.35,2.51,-6.36,-7.53,-17.4,-1,-11.21,-2.34,-15.89,-7.53,-15.06,-65.08,
52.03,62.74,7.7,7.19,1.84,-6.53,0.67,-8.53,-9.7,-20.08,-3.35,-16.06,-11.21,-19.07,-9.54,-18.74,-67.43,
54.71,68.1,8.03,6.69,0.84,-8.2,-1,-10.54,-12.21,-23.09,-5.35,-18.07,-22.92,-18.24,-11.38,-21.75,-71.61,
56.55,72.45,8.03,7.03,-0.33,-9.2,-2.34,-11.54,-14.05,-25.77,-7.03,-17.9,-34.63,-14.89,-12.72,-23.93,-76.63,
56.55,74.12,7.19,7.53,-1.67,-8.87,-3.01,-11.38,-14.39,-27.27,-8.7,-16.9,-42.16,-12.21,-13.72,-25.1,-80.81,
54.38,72.11,5.35,8.2,-3.01,-7.7,-2.84,-10.04,-13.72,-27.27,-10.71,-16.23,-42.16,-12.72,-14.05,-25.1,-81.98,
50.03,67.76,3.18,8.53,-4.02,-6.19,-2.51,-8.2,-11.71,-25.6,-12.55,-16.73,-34.97,-17.4,-13.72,-24.59,-79.64,
44.84,62.24,1,8.53,-4.85,-5.02,-1.67,-6.53,-9.54,-22.92,-13.89,-17.4,-24.09,-24.26,-13.22,-23.59,-73.45,
39.99,57.72,-0.67,8.53,-5.52,-4.35,-1.51,-5.69,-8.03,-20.24,-14.39,-17.4,-14.56,-30.12,-12.55,-22.75,-65.59,
36.64,54.38,-2.01,8.03,-5.69,-4.52,-1.84,-5.35,-7.7,-18.4,-13.72,-15.73,-10.88,-32.12,-12.05,-21.75,-57.89,
34.47,51.36,-3.01,7.36,-6.02,-5.02,-2.51,-5.69,-8.37,-17.9,-12.72,-12.72,-14.56,-29.28,-11.88,-20.41,-52.87,
33.13,47.18,-3.68,6.02,-6.36,-5.52,-3.51,-5.86,-9.54,-18.24,-12.05,-9.37,-23.09,-22.92,-11.88,-18.91,-51.2,
31.45,40.99,-5.02,4.02,-6.86,-6.02,-4.35,-6.19,-11.04,-19.41,-12.55,-7.19,-32.12,-15.73,-11.88,-17.07,-52.7,
28.61,32.63,-6.69,1.17,-7.36,-6.53,-5.19,-5.86,-12.05,-20.08,-14.72,-7.53,-36.81,-11.04,-11.38,-15.39,-56.55,
24.59,23.42,-8.37,-2.01,-8.2,-6.86,-5.69,-5.35,-12.55,-19.74,-18.07,-10.21,-34.97,-10.21,-10.71,-14.22,-60.73,
19.24,15.39,-9.37,-4.85,-9.37,-7.36,-6.19,-5.02,-12.38,-18.4,-21.58,-13.89,-27.61,-12.72,-9.87,-13.38,-64.25,
13.05,9.87,-9.7,-7.03,-10.37,-7.7,-6.69,-4.68,-11.88,-15.73,-24.43,-16.4,-17.9,-16.4,-9.37,-12.72,-66.26,
6.53,6.69,-9.37,-7.7,-11.38,-7.36,-7.36,-4.02,-10.37,-12.55,-25.77,-16.23,-9.7,-18.24,-8.7,-11.71,-66.26,
0.67,5.02,-8.03,-7.36,-11.88,-6.86,-8.03,-3.18,-8.53,-9.37,-25.26,-13.22,-5.19,-17.07,-8.2,-10.04,-64.58,
-3.51,3.18,-6.53,-6.02,-11.88,-5.52,-8.7,-2.01,-6.36,-6.36,-22.75,-8.53,-4.18,-12.55,-7.86,-7.86,-61.57,
-5.52,0.67,-5.19,-4.35,-11.21,-3.68,-9.37,-0.84,-4.52,-4.35,-19.07,-4.18,-4.68,-6.02,-7.7,-5.35,-57.39,
-5.02,-2.84,-4.18,-2.51,-10.04,-2.34,-9.7,0,-3.18,-3.01,-15.39,-1.51,-5.02,0,-7.53,-3.35,-53.2,
-3.18,-6.36,-3.35,-1.34,-9.03,-1.17,-10.04,0.17,-2.84,-2.34,-12.55,-1.17,-4.52,4.18,-7.53,-2.18,-49.36,
-1.51,-8.87,-2.34,-0.67,-8.03,-0.67,-10.37,-0.17,-3.01,-2.01,-11.21,-2.84,-3.85,5.69,-7.53,-1.51,-46.85,
-2.51,-9.87,-1.17,-0.67,-7.36,-0.5,-10.54,-1,-3.68,-1.51,-11.21,-4.68,-5.02,5.69,-7.36,-1.67,-46.01,
-6.69,-9.87,0.17,-0.84,-6.86,-0.33,-10.54,-2.01,-3.68,-1.17,-12.21,-5.35,-8.03,4.68,-7.03,-2.01,-46.68,
-13.72,-9.37,1.67,-1.34,-6.36,0.17,-10.04,-2.34,-3.35,-0.84,-12.38,-4.02,-12.55,4.35,-6.36,-1.84,-48.69,
-21.08,-9.37,3.01,-1.17,-5.86,1.34,-9.37,-2.34,-2.84,-0.5,-10.71,-1.17,-15.89,5.19,-5.19,-1.17,-50.86,
-25.93,-10.21,3.68,-0.84,-4.85,2.68,-8.7,-2.34,-2.68,-0.5,-7.03,2.68,-16.06,6.53,-4.02,0.17,-52.37,
-26.1,-11.54,3.85,0.33,-3.85,4.18,-7.86,-2.01,-3.35,-1,-1.34,5.86,-11.71,8.2,-3.01,1.84,-52.2,
-21.08,-12.72,3.35,2.18,-2.84,5.35,-7.03,-1.84,-4.85,-1.51,4.68,8.2,-3.85,9.2,-2.18,3.35,-49.52,
-12.88,-12.88,2.68,4.18,-1.84,6.36,-6.02,-1.17,-6.53,-1.67,10.04,9.37,5.69,9.54,-1.34,5.19,-43.67,
-4.18,-12.05,1.84,6.02,-1,7.03,-4.52,-0.33,-7.36,-1,13.89,9.54,14.05,9.37,0.33,6.53,-35.8,
2.18,-11.04,1.34,7.03,-0.17,7.7,-2.01,1.51,-6.36,0.67,16.23,9.54,19.58,8.87,3.18,8.03,-26.44,
5.02,-11.21,0.84,7.03,1.17,8.53,1.51,3.85,-3.51,3.35,17.73,9.54,22.42,8.7,7.7,9.37,-17.73,
5.02,-13.22,0.33,6.02,2.84,9.2,5.35,6.36,0.84,6.36,19.24,9.87,23.59,8.7,13.38,10.54,-11.04,
3.68,-16.9,-0.5,4.18,5.19,9.87,9.54,8.87,5.86,9.2,20.91,10.21,24.43,8.7,19.58,11.88,-7.53,
2.34,-21.42,-1.17,1.84,7.7,10.37,12.88,10.21,10.04,11.21,22.42,10.37,25.77,8.53,24.93,13.05,-7.19,
1,-25.43,-1.34,-0.17,9.87,10.21,15.39,10.71,13.05,12.21,23.42,10.21,27.61,8.03,28.94,14.05,-9.2,
-0.84,-27.77,-1.17,-1.84,11.54,9.54,16.9,10.54,14.89,12.21,23.09,9.54,29.45,6.86,31.12,14.89,-12.05,
-5.02,-28.11,0,-3.01,12.38,8.2,17.9,10.21,16.06,11.88,21.75,8.37,31.12,5.52,31.96,15.39,-14.56,
-10.88,-27.61,1.51,-4.02,12.88,6.53,18.74,9.87,16.73,11.38,19.74,6.53,32.46,4.68,32.12,14.89,-15.89,
-17.4,-26.94,3.35,-5.02,13.38,4.68,19.41,9.37,17.23,11.21,17.73,4.18,34.3,4.35,31.96,13.72,-16.4,
